sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
row-2gzp_5r48-k6ph,00000000-0000-0000-3972-4ED75C43F3AA,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-06-11T00:00:00,2018-06-15T00:00:00,0,37,42,31,30,27,0,167
row-e5v6~7vsu-mxaw,00000000-0000-0000-11C5-5B84B434188B,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-06-18T00:00:00,2018-06-22T00:00:00,0,27,23,22,25,18,0,115
row-ubmb_uf4j~rbq9,00000000-0000-0000-B5FB-F6E506A9633C,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-06-25T00:00:00,2018-06-29T00:00:00,0,18,12,20,17,15,0,82
row-amyr.yh46~y5jn,00000000-0000-0000-5FCB-1A4E1C1AE3AB,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-04-30T00:00:00,2018-05-04T00:00:00,0,46,42,42,47,45,0,222
row-ziw3~48p7_q7yb,00000000-0000-0000-B1C3-0C43F5184AC7,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-04-16T00:00:00,2018-04-20T00:00:00,0,42,53,39,43,50,0,227
row-vv7b-7gxe_j683,00000000-0000-0000-6DFC-784C4DF588F1,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-04-23T00:00:00,2018-04-27T00:00:00,0,33,47,41,23,49,0,193
row-qybd-q84g-prkn,00000000-0000-0000-A436-25230904AEAA,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Basketball Soccer Baseball,2018-07-22T00:00:00,2018-07-28T00:00:00,0,0,60,0,150,108,0,318
row-wk9g_t9mt~2hs3,00000000-0000-0000-D8F1-9DE5CB0AAF67,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Lacrosse Basketball Soccer Basketball,2018-07-22T00:00:00,2018-07-28T00:00:00,0,0,1441,0,93,174,0,1708
row-wrjw.wh2z~q69p,00000000-0000-0000-260D-978936C64631,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Soccer Basketball Baseball,2018-07-22T00:00:00,2018-07-28T00:00:00,0,0,197,0,100,211,0,508
row-vwja~rsb6.wpqq,00000000-0000-0000-9F91-173C4602FBE2,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-08-06T00:00:00,2018-08-10T00:00:00,0,96,56,95,115,141,0,503
row-hi6k~qfyn-tnta,00000000-0000-0000-4A8F-F446336288F5,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-08-13T00:00:00,2018-08-17T00:00:00,0,42,141,0,135,72,0,390
row-6qc3~7ikt.bbtm,00000000-0000-0000-D791-9B6AE6C6356F,0,1540996344,,1540996344,,{ },Staten Island,Playground for All Children,"basketball, bocce, flag football",2018-08-05T00:00:00,2018-08-11T00:00:00,0,0,60,65,35,48,0,208
row-j2eu-ivpp_ayzz,00000000-0000-0000-1D3F-633CC8C57860,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, kickball, pickle Ball, soccer, Flag Football,",2018-07-22T00:00:00,2018-07-28T00:00:00,0,19,31,27,35,55,0,167
row-sg8m~49jt_y9sn,00000000-0000-0000-9A26-A442378FE967,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, soccer, Pickleball, kickball, Flag Football,",2018-07-29T00:00:00,2018-08-04T00:00:00,0,31,42,40,36,27,0,176
row-br5q_5c6g_sm3y,00000000-0000-0000-BCCB-3F10EB752D88,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, Soccer,Flag Football, Kickball,",2018-08-05T00:00:00,2018-08-11T00:00:00,0,25,41,33,24,37,5,165
row-njjw-6ssb~druh,00000000-0000-0000-F093-AABC713F6091,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-08-21T00:00:00,2018-08-24T00:00:00,0,132,138,80,162,144,0,656
row-yuzg_mqh4.u6nd,00000000-0000-0000-D982-6C83C679946D,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Handball Basketball Soccer,2018-08-05T00:00:00,2018-08-11T00:00:00,0,0,279,114,123,106,0,622
row-25kd-n8wf.x64g,00000000-0000-0000-D9C5-C04C60EFECA0,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Basketball Soccer Baseball,2018-08-05T00:00:00,2018-08-11T00:00:00,0,0,85,105,220,0,0,410
row-zf57~23vp-ndz4,00000000-0000-0000-4367-C1B95AF78579,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Lacrosse Basketball Soccer,2018-08-05T00:00:00,2018-08-11T00:00:00,0,0,82,105,0,320,0,507
row-uhqe_t8vi.dmzy,00000000-0000-0000-7D69-150E061B11E5,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,"Flag football, lacrosse, volleyball, basketball, baseball, soccer",2018-08-12T00:00:00,2018-08-18T00:00:00,0,0,162,0,227,201,155,745
row-gqte_knx5.m2yt,00000000-0000-0000-2660-FBC084C40418,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,Basketball,2018-07-09T00:00:00,2018-07-13T00:00:00,0,0,0,0,0,0,0,0
row-xsv2_j7z8_pwhk,00000000-0000-0000-15CE-4664B1ABF26E,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,Street Hockey,2018-07-16T00:00:00,2018-07-20T00:00:00,0,33,0,0,0,0,0,33
row-3qts~ec9j-dwvr,00000000-0000-0000-F969-4168D2B89743,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,Track & Field,2018-07-23T00:00:00,2018-07-27T00:00:00,0,27,0,0,0,0,0,27
row-5br7_imkb~y9zi,00000000-0000-0000-D644-6C48D24FC531,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,Softball,2018-07-30T00:00:00,2018-08-03T00:00:00,0,15,0,0,0,0,0,15
